sweep_group,target_value,match_id,category,exact,within_2,within_5,within_25,within_50,valid,mean_diff
BA,0.0,J03WMX,pass_like,0.9693978282329714,0.9743336623889437,0.9802566633761106,0.9861796643632774,0.9911154985192497,0.998025666337611,0.7497527200791295
BA,0.0,J03WMX,set_piece,1.0,1.0,1.0,1.0,1.0,1.0,0.0
BA,0.0,J03WMX,incoming,0.8909090909090909,0.9,0.9090909090909091,0.9363636363636364,0.9454545454545454,1.0,5.927272727272728
BA,0.0,J03WMX,minor,0.7888888888888889,0.8,0.8,0.9222222222222223,0.9666666666666667,0.9777777777777777,3.7954545454545454
BA,0.0,J03WMX,event_start,0.9526717557251908,0.9580152671755725,0.9633587786259542,0.9786259541984733,0.9862595419847329,0.9969465648854962,1.335375191424196
BA,0.0,J03WMX,event_end,0.9279279279279279,0.9342342342342342,0.9432432432432433,0.9666666666666667,0.9774774774774775,0.9918918918918919,1.9763421292083712
BA,0.0,J03WMX,total,0.9413223140495868,0.947107438016529,0.9541322314049587,0.9731404958677686,0.9822314049586777,0.9946280991735538,1.6181818181818182
BA,0.0,J03WN1,pass_like,0.9611780455153949,0.9705488621151271,0.9718875502008032,0.9825970548862115,0.9919678714859438,1.0,1.4069611780455153
BA,0.0,J03WN1,set_piece,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.0425531914893617
BA,0.0,J03WN1,incoming,0.8588235294117647,0.8705882352941177,0.8705882352941177,0.8823529411764706,0.9529411764705882,0.9882352941176471,5.119047619047619
BA,0.0,J03WN1,minor,0.7564102564102564,0.7692307692307693,0.7948717948717948,0.8461538461538461,0.8717948717948718,0.9743589743589743,10.697368421052632
BA,0.0,J03WN1,event_start,0.9383084577114428,0.9472636815920398,0.9512437810945273,0.9641791044776119,0.9791044776119403,0.9960199004975124,2.295704295704296
BA,0.0,J03WN1,event_end,0.9073634204275535,0.9180522565320665,0.9239904988123515,0.9501187648456056,0.9679334916864608,0.9893111638954869,2.5078407720144753
BA,0.0,J03WN1,total,0.924201407688143,0.9339469409853817,0.9388197076340011,0.9577693557119653,0.9740119112073633,0.9929615592853276,2.36978884677856
BA,0.0,J03WPY,pass_like,0.967741935483871,0.978494623655914,0.9795698924731183,0.9827956989247312,0.9870967741935484,0.9967741935483871,1.7993527508090614
BA,0.0,J03WPY,set_piece,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.0
BA,0.0,J03WPY,incoming,0.86,0.88,0.89,0.91,0.96,1.0,8.18
BA,0.0,J03WPY,minor,0.8095238095238095,0.8253968253968254,0.8253968253968254,0.8888888888888888,0.9682539682539683,1.0,8.126984126984127
BA,0.0,J03WPY,event_start,0.9492814877430262,0.9602704987320372,0.9619611158072696,0.9695688926458157,0.981403212172443,0.9940828402366864,2.5493197278911564
BA,0.0,J03WPY,event_end,0.9284313725490196,0.942156862745098,0.9441176470588235,0.9549019607843138,0.9627450980392157,0.9813725490196078,1.998998998998999
BA,0.0,J03WPY,total,0.9396277802995915,0.9518837948252383,0.9536995006808897,0.9627780299591466,0.9727644121652292,0.988197911938266,2.2673626872446664
BA,0.0,ALL,pass_like,0.966542750929368,0.9747211895910781,0.9776951672862454,0.9840148698884759,0.9899628252788104,0.9981412639405205,1.2951292058336747
BA,0.0,ALL,set_piece,0.9787234042553191,0.9787234042553191,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.014335295005281426
BA,0.0,ALL,incoming,0.8711864406779661,0.8847457627118644,0.8915254237288136,0.911864406779661,0.9525423728813559,0.9966101694915255,6.458030669895077
BA,0.0,ALL,minor,0.7835497835497836,0.7965367965367965,0.8051948051948052,0.8874458874458875,0.935064935064935,0.9826839826839827,7.307297168541188
BA,0.0,ALL,event_start,0.9473985134362493,0.9556889651229273,0.9594053744997141,0.9714122355631789,0.9825614636935391,0.9957118353344768,2.0218323487832337
BA,0.0,ALL,event_end,0.9222745625841184,0.9323687752355316,0.9380888290713324,0.9579407806191117,0.9697173620457604,0.9875504710632571,2.134697399877678
BA,0.0,ALL,total,0.9358578052550232,0.9449768160741886,0.9496136012364761,0.9652241112828439,0.976661514683153,0.9919629057187017,2.053786707882535
BA,0.25,J03WMX,pass_like,0.9703849950641659,0.9753208292201382,0.981243830207305,0.9842053307008884,0.9911154985192497,0.9990128331688055,0.8517786561264822
BA,0.25,J03WMX,set_piece,1.0,1.0,1.0,1.0,1.0,1.0,0.0
BA,0.25,J03WMX,incoming,0.9272727272727272,0.9363636363636364,0.9363636363636364,0.9545454545454546,0.9636363636363636,1.0,2.6545454545454548
BA,0.25,J03WMX,minor,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9555555555555556,0.9888888888888889,1.0,2.3666666666666667
BA,0.25,J03WMX,event_start,0.9648854961832061,0.9694656488549618,0.9740458015267176,0.9809160305343512,0.9893129770992366,0.999236641221374,1.0443086325439266
BA,0.25,J03WMX,event_end,0.918018018018018,0.9234234234234234,0.9306306306306307,0.9522522522522523,0.9774774774774775,0.9927927927927928,2.6445454545454545
BA,0.25,J03WMX,total,0.9433884297520662,0.9483471074380165,0.9541322314049587,0.9677685950413223,0.9838842975206612,0.9962809917355372,1.7669421487603305
BA,0.25,J03WN1,pass_like,0.9705488621151271,0.9785809906291834,0.9799196787148594,0.9892904953145917,0.9933065595716198,1.0,0.8165997322623829
BA,0.25,J03WN1,set_piece,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.0425531914893617
BA,0.25,J03WN1,incoming,0.9058823529411765,0.9176470588235294,0.9176470588235294,0.9294117647058824,0.9647058823529412,0.9882352941176471,3.238095238095238
BA,0.25,J03WN1,minor,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,5.346153846153846
